aren't, are not
can't, cannot
could've, could have
couldn't, could not
didn't, did not
doesn't, does not
don't, do not
hadn't, had not
hasn't, has not
haven't, have not
he'd, he had
he'll, he will
he's, he is
i'd, i had
i'll, i will
i'm, i am
i've, i have
isn't, is not
it's, it is
let's, let us
must've, must have
mustn't, must not
nobody's, nobody is
she'd, she had
she'll, she will
she's, she is
should've, should have
shouldn't, should not
that's, that is
there'll, there will
there's, there is
they'll, they will
they're, they are
they've, they have
wasn't, was not
we'd, we had
we'll, we will
we're, we are
we've, we have
weren't, were not
what's, what is
where'd, where did
where'd, where had
who'd, who had
who'd, who would
who's, who is
won't, will not
would've, would have
wouldn't, would not
you'd, you had
you'd, you would
you'll, you will
you're, you are
you've, you have
gotta, go to
gonna, going to
we'd, we would
ya'll, you all
y'all, you all
imma, i am going to
i'ma, i am going to
i'mma, i am going to
ima, i am going to
til, until
till, until
'till, until
'tis, it is
why'd, why did
tryna, trying to
outta, out of
sorta, sort of
know'd, had known
wana, want to
wanna, want to
betta, better
tis, it is
where've, where have
gimme, give me
shoulda, should have
whatch'ya, what are you
how'd, how had
tis', it is